With immediate effect please cancel the LCML on the customers profile as this is not required anymore.,Food
"WINE SPOILED  Customer had red wine, pinot noir, claimed it was spoiled  other customers drank same wine and no one else complained",Food
"Wine spilled on customer   I was pouring red wine to Ms Shatalova and I spilled some wine on her table  Her phone was on the table and the tray   The red wine dropped a bit on the tray, next to the phone, and two small drops on her pink top",Food
"WINE SPILLAGEDuring collection of trays after lunch, a glass of wine was accidentally spilled by on customer's seat and trouser when 10A handed the tray.",Food
"Wine spillage: Mr. Odedeji's daughter, accidently spilled red wine on Mr. Odedeji.",Food
"Wine Menu The port wine showing reflecting on the menu in F/Class is 1992, however we had 1963 loaded. This was served to customer and he was very happy.",Loading
WINDOW BLINDS NOT CLOSING  Window blind between 15K and 16K could only close 50%.  Mr Parker wanted the window blind to fully close .,Food
Window being inoperable .Customer declined  all service recovery offered,Food
WILTED GARNISH.  The basil loaded for garnish was wilted and appeared black in colour.,Loading
WIFI NOT WORKING  Mr. Walker stated he had purchased WiFi using his credit card but it did work.  Customer wanted to know if the deduction had gone through in his credit card.,Food
"WIFI inoperativeCustomers could not connect to the wifi throughout the flight.On devices, it showed connected to OnAir network however the connection page did not appear neither came up once prompted.",Food
"WIFI connection( 11F Mr. Aiman alnajidinalbtoush)  During lunch service, Mr. Aiman asked me to help him to connect internet.",Food
Wifi connection failure :   During the flight Mr. Mehmood asked me for connecting his phone to the internet using his skywards password.  Apologized to the customer and informed him we don't have an access to this password or code.  One hour later customer stated he purchased internet 150MB and after one hour the system asked him to buy an internet again.,Food
White wine not chilled enough: During the wine basket delivery a few customers (approximately 6) commented on the white wines not being chilled enough.,Food
"Whilst taking the linen out of Hamrick 1J, a set of headphones dropped onto Mrs Prinz.",Food
"While the seat belt sign was on, crew found Mr. Murray's baby sitting on the bassinet.",Food
While serving customer during lunch service by crew member Robert staff number 439690 the red wine spelt over him while putting his meal down customer was upset as the wine was over his trousers he claimed that Robert he is the reason that the wine spelt on him while he was serving him.,Loading
"While Mrs Miller Helyar was leaving the aircraft, I noticed she was carrying a sick bag.I asked if she was ok and she said 'no it was definitely the chicken'.",Food
"While Mr. Almehrzi was queing for the lavatory, he requested to use FC lavatory.Customer complained about him not able to use FC, while YC customers are using JC lavatories.He was asking why YC are crossing over to JC to use lavatories.",Food
"While in conversation with Houcem Frih(403868), he informed me that he hit his head on the small hat in front of  station R4.He informed me that it was hurting.",Food
"While disembarking, customers at the front of economy had to be held so upper deck customers could disembark first.(No DUDDA).Crew Rana (453027) asked customers to wait and stood in front of of them at MR1. One of the customers and also Ms Chanda tried to pass regardless by pushing Rana. Rana them told them assertively "" i told you to wait until i let you pass""To what Ms Chanda complained shouting thats Rana was being rude",Food
While cruising  customer came to the galley and informed of feeling Nausea and dizzy.,Food
While crew members were taking orders in the MOD it was showing a waiting time of 3 years ago for some of the orders.,Food
While crew member  Eunjoo s447223 was securing Ms. Wiingreen refused to stow away her TV screen and she also did not want to give back her blanket for securing the cabin.,Food
"While crew Areena was walking with trays of drinks in the cabin, she accidentally spilled juice on the customer.",Food
"While counting the duty free number 080,I realised that item no 2071 from drawer number 10 is missing.",Food
"While closing Duty Free 1036, the battery of the HHC died. It died after it asked ""would you like to print a second closing stock"" Before I could press ""no"" the device showed a battery warning sign and turned off. I tried putting the backup battery in and it was also dead (device would turn off as soon as it turned on)I asked the other DF operator if I could use one of her batteries but she already sealed her containers.",Food
"While checking the business class lavatory during the flight, the mirror opens and hits my forehead.Area appeared red , with minor pain.",Food
While checking duty free cart number =DF592 I recognised that following items are missingDrawer 1 : item number 2036Drawer 6: item number 2073Drawer 7: item number 2116Whiteness when I count = Federico Chained Castillo staff number =407790,Food
