"Customer found a piece of foil in his meal choice. During the light bite service, Mr. Mcginn brought to my attention that he have found  a piece of foil cover a diameter of 1x1cm, in the Lamb Pie, found in between the minced meat. Asked crew member Lisa if she checked prior to delivered the meal, Cabin Crew Lisa stated that she checked and there was nothing on the Pie and Galley operator Ali stated that he made sure that there was no foreign object on the pie. Customer stated that he found the piece of foil inside the pie in between the minced meat. As I went to YC to grab the Foreign object form, the Lamb pie that was left in the galley to be stowed in the product and audit container was gone and being discharged by the galley operator Ali, despite informing everyone in the JC galley that there was a piece of foil inside and I need to report it, hence there will be no foreign object report in the product audit container.",Catering-Food
"Short of Tray Due to Neglectful Management of Caterer Pax load was 296 ( Full 7 carts and 1 half cart for lunch)  Service was Lunch and Light Bite. Caterer went to check with MID galley in Y class. Tereza checked with caterer that 2 carts for lunch and 1 cart for light bite are loaded. Tereza (Mid galley operator) claimed that she is short of 1 lunch cart. Caterer replied 1 cart will be in AFT galley. Caterer went check loading in AFT galley. Elena checked with caterer that there are 5 carts for lunch and 2 carts for light bite which makes it 7 carts for lunch and short of half cart. Elena was told 3 carts in MID galley by caterer  which was not true.  Before leaving the aircraft, Caterer was asked for missing lunch cart by Tereza and caterer replied it is in the AFT galley. It was only discovered that 25 Customers in AFT area were out of trays during the lunch service.",Catering-Food
"VERY UNHAPPY ABOUT THE FISH HOT MEAL,The customer chose ROASTED SEABASS FILLET from the menu.As soon as the meal was served, the customer complained the fish smelled bad.He seemed angry and complained that, since recently, the ""fish dishes served on EK smell very bad.""When the crew requested him to describe smell he was referring to in the dish served, he appeared upset that the crew had requested to be specific. He returned his meal and opted for the chicken choice.He was travelling with his two children and he made the children return their meals as well, and opted for Beef.Customer claimed that he had complained about the fish not smelling fresh before as well.Customer claimed the chicken was ""FINE"".Upon investigation, crew did not find the fish smelling unusual.Received no complaints from other customers who had fish.Received no further complaints from Mr Beheshti.",Catering-Food
"RETURN TO STAND DUE TO GALLEY POWER OFF IN AFT GALLEY OF YC, DRY ICE LOADED Before take off it was reported to the engineer that the galley power in aft of YC was inoperative. Before closing the last door, engineer liaised with the Captain that galley power should switch on when the aircraft's engines start. During taxi, Captain liaised with Cabin Supervisor Atikilt (409292) if galley power was on (oven, brewer, air chiller, trash compactor) however it remained without power. With the aft galley power off, oven won't work and we won't be able to heat meals for both sectors in the aft galley of YC. Due to air chiller being inoperative, we can not ensure freshness of return sector meals and keep it chilled for the duration of the flight and time on ground in Amman. Captain was advised that no meals can be requested or ordered from outstation with such short notice.",Catering-Food
"Customer details 82D MMr Malini SridharShortage of AVML meals  On EK 207 we were catered for 14 AVML , however after receiving the PIL  (flight manifest) it showed 60 AVML which the customers had actually pre ordered.  Due to flight cancellation of 207 our KIS tablets had no information about customer details nor catering information to refer to .I only had the menu as a reference and the catering supervisor . The catering staff also did not have much information about this flight due to last minute changes. We received the PIL just before the last door was closed which was to late to order any meals . What I did realise was that only the waitlisted meals were catered which were 7 CHML instead of 1514AVML instead of 60 and I was missing a Gluten free meal.Over all we were catered for a full flight but with insufficient special meals.",Catering-Food
"Customer details 82EMr Malini SridharShortage of AVML meals  On EK 207 we were catered for 14 AVML , however after receiving the PIL  (flight manifest) it showed 60 AVML which the customers had actually pre ordered.  Due to flight cancellation of 207 our KIS tablets had no information about customer details nor catering information to refer to .I only had the menu as a reference and the catering supervisor . The catering staff also did not have much information about this flight due to last minute changes. We received the PIL just before the last door was closed which was to late to order any meals . What I did realise was that only the waitlisted meals were catered which were 7 CHML instead of 1514AVML instead of 60 and I was missing a Gluten free meal.Over all we were catered for a full flight but with insufficient special meals.",Catering-Food
"Meal Feedback Miss Zena explained that the VLML and VGML in all emirates flights is very plain and bland. Today the appetizer was mozzarella and tomatoes. The main course was pasta with capsicum peppers, macaroni and cheese on tomato sauce. She stated that the food is OK, but it is not something special as Business class food should be. The pasta quality is similar to canned pasta. There was a two big pieces of asparagus. The part close to the end was tender and nice to eat. But the other end piece was very hard and chewy. She stated that she looks forward to the flight for the service, drinks and seat comfort, but the vegetarian food on all flights is just plain. Miss Zena explained that for the ticket price that she pays, there should be a selection of vegetarian meals which she can choose from.email: zena.marie85@yahoo.com",Catering-Food
"QUALITY OF FOOD ONBOARD MIGHT BE COMPROMISED DUE TO COLLECTIVE GALLEY CHILLER FAILURE ON THE INBOUND FLIGHT.This Flight has double catering due to catering disruption in the CPH station.The catering for return sector was loaded from DXB in all respective galleys.After take off on the DXBCPH sector the inbound crew reported major defect with a collective failure of all the galley chillers on the A/C .Despite several resets they were unable to fix it .Further the Engineers on ground CPH could not fix it either.Dry ice was brought to combat the situation to some extent , but this reached the A/C after we started boarding in CPH .Effectively the meals and the other food items (perishables ) were not chilled for several hours which includes most of the flying time inbound and a major part of the ground time in CPH.",Catering-Food
"QUALITY OF FOOD ONBOARD MIGHT BE COMPROMISED DUE TO COLLECTIVE GALLEY CHILLER FAILURE ON THE INBOUND FLIGHT.This Flight has double catering due to catering disruption in the CPH station.The catering for return sector was loaded from DXB in all respective galleys.After take off on the DXBCPH sector the inbound crew reported major defect with a collective failure of all the galley chillers on the A/C .Despite several resets they were unable to fix it .Further the Engineers on ground CPH could not fix it either.Dry ice was brought to combat the situation to some extent , but this reached the A/C after we started boarding in CPH .Effectively the meals and the other food items (perishables ) were not chilled for several hours which includes most of the flying time inbound and a major part of the ground time in CPH.",Catering-Food
"Feedback on KHI sectorsBlock time of 01:39 and 01:59hs, for each sector today.Each sector was fully booked in JC, which means a total of 8 meal carts per sector, total of 16 return.As per EK standards, each cart should have 1 orange juice and 1 apple juice. That means a total of 16 orange and 16 apple juices  32 total.In total, we were catered in YC 8 orange, 8 apple, 8 pineapple, 8 mango, 8 tomato juices  40 juices  out of 4 containers in YC. No juices in the fridges.For a sector with less than 2hr duration, there were over 40 SPML on DXB KHI, which takes away precious time from the main service.On the KHI DXB sector, the main course was Spanish Paella. That means, Emirates Airlines served paella on a pakistani flight. Customer did not know what is paella and the crew tried to explain it as ""spanish biryani"".",Catering-Food
